NAME,DESCRIPTION,NEWDESCRIPTION
PPBUS_G3H,"Main system power rail that charges the battery, or is power from the battery, that everything else is powered from. ",
PP3V3_S5,PP3V3_S5 is a 3.3v power rail when the system is in an S5 soft off power state,
PM_SLP_S4_L,PM_SLP_S4_L is a signal that puts the system into an S4 suspend to disk sleep state when it is low(_L means signal is asserted when voltage is low),
PP3V42_G3H,PP3V42_G3H is a power rail present when the machine is in a G3H global system hardware off state and is the first rail that should be generated in Macbooks that use it. ,
SMC_ONOFF_L,"SMC_ONOFF_L tells the computer that the power button has been pressed when it is low, _L means signal is asserted when it is low voltage. ",
PP5V_S5,This is a 5v power rail that is present when the machine is in an S5 soft off state.,
ALL_SYS_PWRGD,"ALL_SYS_PWRGD is present when PP1V8_S3, PP5V_S3, PP1V2_S3, PP1V05_S0, PP5V_S0, PP3V3_S0, & PP1V5_S0 are present and working. If any of these rails is not working, ALL_SYS_PWRGD will be pulled down and the machine will not turn on. ",
PP3V3_G3H,"PP3V3_G3H is a 3.3v power line that is present when the machine is in a Global System Hardware Off state, and should come on before most other rails so that the USB-C circuitry can be powered for the charger",
PM_PWRBTN_L,"PM_PWRBTN_L refers to the power button signal line. This line is used to initiate the power-on sequence of the laptop. The ""L"" at the end of ""PM_PWRBTN_L"" suggests that it is an active-low signal, meaning that when the power button is pressed, the signal is pulled low to initiate the boot sequence.",
SMC_RESET_L,"SMC_RESET_L puts the SMC into reset mode when it is low, _L means the signal is present when voltage is low. The SMC being in reset mode keeps it from running.",
3V3_S5,"3V3_S5 and PP3V3_S5 are interchangeable, see definition for PP3V3_S5. ",
PP5V_S0,PP5V_S0 is a 5v power rail present when the system is in an S0 working state.,
PM_BATLOW_L,"PM_BATLOW_L is a signal that tells the system the battery is too low for it to turn on & keeps it from turning on, when it is low. _L means the signal is asserted when its voltage is low. ",
SMC_LID,"SMC_LID tells the machine the system is open when it is 3.3v to 3.4v, and closed when it is low such as 0v-0.6v. When this signal is low, the machine may go to sleep or have no backlight. ",
PPVRTC_G3H,PPVRTC_G3H is a 3.3v power rail for the RTC circuit present when the machine is in a G3H global system hardware off state. ,
PP5V_S3,PP5V_S3 is a 5v power rail present when the system is in an S3 suspend to RAM state.,
PLT_RESET_L,"PLT_RESET_L is platform reset, this signal keeps the system from POSTing. _L means the signal is asserted when its voltage is low. ",
PPDCIN_G3H,PPDCIN_G3H Is a power rail that comes directly from the laptop charger.,
SMC_PM_G2_EN,"SMC_PM_G2_EN is a signal that comes from the SMC that is a prerequsite for all of the enable signals for the S5 rails to come on, such as P3V3S5_EN. S5 rails will not come on if SMC_PM_G2_EN is not coming.",
PP3V3_SUS,"The ""PP3V3_SUS"" rail on a MacBook logic board is a power rail that provides a 3.3-volt supply to the suspend-to-RAM (S3 state) components. ",
PP3V3_S0,"The ""PP3V3_S0"" rail in a MacBook logic board is a power rail that supplies 3.3 volts to the system when it is fully awake (S0 state). ",
PM_SLP_S5_L,"PM_SLP_S5_L is a signal that, when 3.3v, turns on power rails that will wake the system from an S5 state. This signal is a part of the power management system of the MacBook.  The \""PM\"" prefix typically stands for \""Power Management,\"" and the \""SLP\"" is for \""Sleep.\"" The \""S5\"" denotes the specific sleep state, which is Suspend to Disk, and the \""_L\"" suffix indicates that this is an active low signal.",
PPVCC_S0_CPU,"The ""PPVCC_S0_CPU"" power rail is responsible for supplying power to the CPU when the MacBook is fully on, or in the S0 state. This rail is one of the main voltages that the CPU requires for operation. ",
PP3V3_S4,"The ""PP3V3_S4"" power rail in a MacBook is used to supply 3.3 volts to certain components when the system is in the S4 power state, also known as ""suspend to disk"" or ""hibernate."" This rail is active when the MacBook is not fully off but not in an awake state, allowing for faster startup times compared to a full boot sequence. The S4 power state means Suspend to Disk: This is a low-power state where the system context is saved to disk, allowing the system to be powered down almost entirely. Upon waking, the system can restore its state from the disk, effectively resuming where it left off.",
SMC_ADAPTER_EN,"SMC_ADAPTER_EN enables the machine to work off of the power adapter when the proper power adapter is attached. Attacching an 85w Macbook Pro 15” power adapter to a 13” Macbook that requires a 60w power adapter is ok, attaching a 45w Macbook Air power adapter to a 15” macbook Pro that needs an 85w power adapter will result in SMC_ADAPTER_EN missing. ",
PP5V_S4,PP5V_S4 is a 5v power rail present when the machine is in an S4 suspend to disk state.,
PM_SLP_SUS_L,"
The ""PM_SLP_SUS_L"" signal in a MacBook is related to the power management of the device, specifically concerning the 'suspend to RAM' state or S3 state. It's an active-low signal that, when asserted (low voltage), indicates the system should enter or is in the S3 sleep state. ",
SMC_BC_ACOK,"This is identical to CHGR_ACOK. This will come out of the ISL6258 or ISL6259 charging chip when CHGR_ACIN & CHGR_DCIN are present, and is necessary for the onewire circuit to begin working. On most Macbooks, CHGR_ACOK needs to be present in order for PP3V42_G3H to flow to the onewire circuit so that the circuitry that allows the charger to communicate with the SMC will turn on.  ",
PM_DSW_PWRGD,"The ""PM_DSW_PWRGD"" signal in a MacBook stands for ""Deep Sleep Well Power Good” and is required for the machine to power on & post.",
PM_RSMRST_L,"The ""PM_RSMRST_L"" signal, also known as ""Resume Reset,"" is an active-low signal that is part of the power management system in MacBooks. It asserts a reset signal when it is low voltage which is what the _L is for. Is the machine is in a reset stage it will not properly power on.",
PM_SLP_S3_L,"PM_SLP_S3_L puts the machine to sleep in an S3 state when it is asserted, the _L means it is asserted when it is low voltage. When this signal is 3.3v the machine will be asked to turn on S0 power rails and begin the bootup process",
